item_code,branch_id,txn_year,units_sold,weather_index,foot_traffic
14,LOC02,2027,265,0.058,183.3
16,LOC02,2027,557,-0.15,399.0
18,LOC02,2027,242,0.047,266.0
21,LOC02,2027,118,-0.072,304.5
28,LOC02,2027,151,0.117,60.1
31,LOC02,2027,123,0.503,175.5
32,LOC02,2027,106,0.526,189.8
33,LOC02,2027,115,0.039,376.4
35,LOC02,2027,341,-0.042,214.8
36,LOC02,2027,155,0.335,220.5
44,LOC02,2027,167,0.12,64.3
47,LOC02,2027,132,0.045,295.2
64,LOC02,2027,308,0.01,130.5
66,LOC02,2027,555,0.294,229.7
68,LOC02,2027,247,0.058,293.6
71,LOC02,2027,117,0.402,437.0
78,LOC02,2027,111,0.135,275.2
81,LOC02,2027,132,0.081,207.2
82,LOC02,2027,139,0.064,442.4
83,LOC02,2027,130,-0.129,314.1
85,LOC02,2027,309,0.151,85.9
86,LOC02,2027,131,0.091,303.5
94,LOC02,2027,198,-0.276,270.0
97,LOC02,2027,129,0.166,136.6
114,LOC02,2027,232,0.069,449.2
116,LOC02,2027,537,0.153,277.7
118,LOC02,2027,328,0.127,279.6
121,LOC02,2027,133,0.156,419.5
128,LOC02,2027,141,-0.034,227.1
131,LOC02,2027,140,0.169,122.6
132,LOC02,2027,123,0.044,408.1
133,LOC02,2027,136,0.355,282.3
135,LOC02,2027,305,0.426,195.3
136,LOC02,2027,145,-0.126,246.3
144,LOC02,2027,190,-0.136,286.2
147,LOC02,2027,139,0.137,292.4
164,LOC02,2027,267,0.351,250.0
166,LOC02,2027,598,0.221,82.4
168,LOC02,2027,232,0.223,415.3
171,LOC02,2027,123,-0.04,273.1
178,LOC02,2027,126,0.031,418.9
181,LOC02,2027,148,-0.05,88.0
182,LOC02,2027,141,0.158,135.2
183,LOC02,2027,114,0.11,385.4
185,LOC02,2027,314,0.033,214.3
186,LOC02,2027,141,0.08,251.3
194,LOC02,2027,182,-0.091,344.0
197,LOC02,2027,141,-0.119,148.2
214,LOC02,2027,197,0.103,59.2
216,LOC02,2027,543,-0.092,427.6
218,LOC02,2027,256,-0.096,419.0
221,LOC02,2027,126,0.093,186.1
228,LOC02,2027,127,0.139,318.4
231,LOC02,2027,124,-0.183,54.1
232,LOC02,2027,123,0.191,364.0
233,LOC02,2027,114,0.365,90.7
235,LOC02,2027,280,-0.118,309.0
236,LOC02,2027,124,-0.043,478.4
244,LOC02,2027,165,-0.067,144.8
247,LOC02,2027,136,-0.017,352.2
264,LOC02,2027,254,-0.007,352.6
266,LOC02,2027,574,0.077,179.3
268,LOC02,2027,265,0.24,402.6
271,LOC02,2027,138,0.137,117.2
278,LOC02,2027,126,0.03,369.1
281,LOC02,2027,132,0.068,381.2
282,LOC02,2027,146,-0.017,145.2
283,LOC02,2027,112,0.027,136.7
285,LOC02,2027,345,0.338,481.9
286,LOC02,2027,133,0.463,472.4
294,LOC02,2027,167,0.231,116.1
297,LOC02,2027,133,-0.152,150.6
314,LOC02,2027,267,0.234,120.6
316,LOC02,2027,552,-0.004,439.8
318,LOC02,2027,241,0.095,298.0
321,LOC02,2027,121,0.017,54.3
328,LOC02,2027,122,0.106,377.2
331,LOC02,2027,124,0.145,499.0
332,LOC02,2027,134,0.084,113.3
333,LOC02,2027,116,-0.028,97.2
335,LOC02,2027,278,0.266,280.5
336,LOC02,2027,151,-0.139,222.5
344,LOC02,2027,189,-0.085,433.2
347,LOC02,2027,117,0.243,493.3
364,LOC02,2027,263,0.05,111.8
366,LOC02,2027,543,0.164,449.2
368,LOC02,2027,194,0.08,189.5
371,LOC02,2027,125,0.049,286.4
378,LOC02,2027,126,0.092,460.9
381,LOC02,2027,124,0.044,66.4
382,LOC02,2027,135,0.175,376.6
383,LOC02,2027,136,0.09,217.5
385,LOC02,2027,303,0.118,255.9
386,LOC02,2027,113,0.276,219.3
394,LOC02,2027,167,0.211,359.6
397,LOC02,2027,151,-0.046,424.8
414,LOC02,2027,209,-0.098,139.2
416,LOC02,2027,531,-0.065,457.7
418,LOC02,2027,241,-0.137,210.5
421,LOC02,2027,149,0.184,258.0
428,LOC02,2027,122,-0.028,322.9
431,LOC02,2027,146,0.07,59.5
432,LOC02,2027,109,0.287,113.5
433,LOC02,2027,144,0.058,457.6
435,LOC02,2027,320,0.108,400.7
436,LOC02,2027,130,0.113,295.4
444,LOC02,2027,188,0.111,289.1
447,LOC02,2027,133,-0.021,469.8
464,LOC02,2027,267,-0.215,441.7
466,LOC02,2027,550,0.304,200.6
468,LOC02,2027,241,0.078,351.2
471,LOC02,2027,119,0.278,80.0
478,LOC02,2027,139,-0.128,303.5
481,LOC02,2027,123,0.364,230.1
482,LOC02,2027,142,0.183,498.0
483,LOC02,2027,126,0.209,483.9
485,LOC02,2027,303,0.283,401.6
486,LOC02,2027,144,-0.063,406.8
494,LOC02,2027,150,-0.055,132.9
497,LOC02,2027,100,0.119,469.5
