item_code,branch_id,txn_year,units_sold,online_search_volume,marketing_spend
14,LOC02,2033,954,745.1,1895.53
16,LOC02,2033,2004,1591.7,927.85
18,LOC02,2033,851,682.2,475.05
21,LOC02,2033,473,387.2,1547.33
28,LOC02,2033,277,227.7,1469.35
31,LOC02,2033,230,179.4,117.61
32,LOC02,2033,262,197.8,157.52
33,LOC02,2033,221,189.6,826.11
35,LOC02,2033,595,474.0,157.57
36,LOC02,2033,307,252.3,438.39
44,LOC02,2033,380,296.3,152.93
47,LOC02,2033,289,224.0,852.72
64,LOC02,2033,1109,867.5,595.55
66,LOC02,2033,1895,1512.2,78.2
68,LOC02,2033,938,749.9,301.5
71,LOC02,2033,459,377.2,206.33
78,LOC02,2033,288,216.9,72.76
81,LOC02,2033,225,176.6,1186.26
82,LOC02,2033,239,198.7,1597.95
83,LOC02,2033,225,182.0,193.58
85,LOC02,2033,533,445.7,599.53
86,LOC02,2033,261,234.0,1112.56
94,LOC02,2033,408,322.5,1604.46
97,LOC02,2033,283,215.6,1173.89
114,LOC02,2033,866,681.7,533.8
116,LOC02,2033,1991,1633.9,109.7
118,LOC02,2033,1310,1016.4,336.33
121,LOC02,2033,493,370.7,590.18
128,LOC02,2033,290,233.7,147.8
131,LOC02,2033,224,181.8,416.59
132,LOC02,2033,253,206.3,1138.52
133,LOC02,2033,209,179.9,407.58
135,LOC02,2033,626,495.0,191.75
136,LOC02,2033,329,252.0,1091.41
144,LOC02,2033,397,313.6,309.33
147,LOC02,2033,284,227.7,3258.86
164,LOC02,2033,934,785.8,375.65
166,LOC02,2033,2067,1679.8,369.73
168,LOC02,2033,766,653.1,322.47
171,LOC02,2033,479,380.3,403.59
178,LOC02,2033,263,218.7,227.8
181,LOC02,2033,234,183.1,1403.15
182,LOC02,2033,239,207.1,1665.86
183,LOC02,2033,211,186.4,832.75
185,LOC02,2033,566,462.7,231.87
186,LOC02,2033,326,242.0,549.08
194,LOC02,2033,400,307.0,186.59
197,LOC02,2033,259,225.6,410.69
214,LOC02,2033,726,603.8,418.85
216,LOC02,2033,2055,1627.9,25.19
218,LOC02,2033,871,707.8,356.58
221,LOC02,2033,494,370.8,554.44
228,LOC02,2033,261,212.9,1548.31
231,LOC02,2033,247,178.8,4393.73
232,LOC02,2033,277,207.1,698.45
233,LOC02,2033,211,179.8,520.39
235,LOC02,2033,585,464.9,737.48
236,LOC02,2033,283,238.2,2337.0
244,LOC02,2033,355,303.9,84.42
247,LOC02,2033,279,206.6,6351.43
264,LOC02,2033,899,715.1,370.57
266,LOC02,2033,1975,1591.9,661.21
268,LOC02,2033,922,747.3,382.64
271,LOC02,2033,455,380.5,303.09
278,LOC02,2033,287,220.0,333.36
281,LOC02,2033,196,189.7,310.15
282,LOC02,2033,253,196.5,308.57
283,LOC02,2033,190,181.8,476.98
285,LOC02,2033,586,500.6,127.51
286,LOC02,2033,293,244.3,513.98
294,LOC02,2033,425,327.4,1012.6
297,LOC02,2033,268,230.0,576.15
314,LOC02,2033,1060,821.4,240.38
316,LOC02,2033,2072,1583.7,1553.42
318,LOC02,2033,878,677.3,196.22
321,LOC02,2033,494,376.1,479.41
328,LOC02,2033,266,213.3,656.73
331,LOC02,2033,227,184.4,228.57
332,LOC02,2033,235,194.1,708.19
333,LOC02,2033,200,176.0,176.47
335,LOC02,2033,531,446.7,253.79
336,LOC02,2033,313,257.4,330.17
344,LOC02,2033,375,294.8,306.52
347,LOC02,2033,286,217.3,70.98
364,LOC02,2033,940,744.6,367.88
366,LOC02,2033,2125,1638.8,43.65
368,LOC02,2033,783,633.1,200.99
371,LOC02,2033,474,380.7,163.66
378,LOC02,2033,286,208.0,996.62
381,LOC02,2033,213,180.6,151.73
382,LOC02,2033,249,196.9,133.66
383,LOC02,2033,209,173.0,2070.92
385,LOC02,2033,617,475.4,158.19
386,LOC02,2033,288,231.3,509.36
394,LOC02,2033,421,297.3,612.0
397,LOC02,2033,241,215.6,611.76
414,LOC02,2033,727,625.8,685.38
416,LOC02,2033,1950,1547.0,2982.35
418,LOC02,2033,913,712.4,1574.97
421,LOC02,2033,448,372.3,921.06
428,LOC02,2033,244,219.5,2681.12
431,LOC02,2033,252,181.0,793.22
432,LOC02,2033,243,187.2,465.88
433,LOC02,2033,196,179.3,132.46
435,LOC02,2033,587,499.6,208.05
436,LOC02,2033,329,239.7,464.68
444,LOC02,2033,354,284.9,483.53
447,LOC02,2033,260,232.3,489.05
464,LOC02,2033,933,794.3,199.96
466,LOC02,2033,2039,1593.9,172.41
468,LOC02,2033,773,656.5,684.38
471,LOC02,2033,508,378.8,276.04
478,LOC02,2033,258,211.3,476.08
481,LOC02,2033,226,176.2,656.32
482,LOC02,2033,248,191.3,1080.99
483,LOC02,2033,217,166.1,1838.16
485,LOC02,2033,560,446.1,235.94
486,LOC02,2033,274,228.2,468.65
494,LOC02,2033,332,275.1,34.95
497,LOC02,2033,265,232.1,1866.72
