item_code,branch_id,txn_year,units_sold,competitor_price_index
14,LOC02,2036,1819,1405.4
16,LOC02,2036,3842,565.2
18,LOC02,2036,1638,1526.1
21,LOC02,2036,933,3005.3
28,LOC02,2036,404,2365.3
31,LOC02,2036,281,2577.2
32,LOC02,2036,369,2205.5
33,LOC02,2036,292,2682.5
35,LOC02,2036,820,686.7
36,LOC02,2036,449,1953.1
44,LOC02,2036,515,1556.5
47,LOC02,2036,419,2339.3
64,LOC02,2036,2068,1181.2
66,LOC02,2036,3650,581.7
68,LOC02,2036,1787,1372.3
71,LOC02,2036,912,3295.9
78,LOC02,2036,375,2614.4
81,LOC02,2036,298,2715.1
82,LOC02,2036,379,2106.7
83,LOC02,2036,309,2896.8
85,LOC02,2036,783,794.5
86,LOC02,2036,427,2144.9
94,LOC02,2036,608,1364.4
97,LOC02,2036,401,2471.1
114,LOC02,2036,1691,1490.9
116,LOC02,2036,3809,516.9
118,LOC02,2036,2461,1056.7
121,LOC02,2036,914,3474.7
128,LOC02,2036,451,2294.4
131,LOC02,2036,339,2393.5
132,LOC02,2036,322,2155.0
133,LOC02,2036,294,2992.3
135,LOC02,2036,887,696.1
136,LOC02,2036,470,1919.7
144,LOC02,2036,599,1453.5
147,LOC02,2036,432,2219.8
164,LOC02,2036,1823,1301.3
166,LOC02,2036,3964,487.1
168,LOC02,2036,1623,1575.5
171,LOC02,2036,894,3171.7
178,LOC02,2036,375,2465.3
181,LOC02,2036,325,2495.4
182,LOC02,2036,368,2042.9
183,LOC02,2036,296,2771.6
185,LOC02,2036,803,777.0
186,LOC02,2036,437,2013.9
194,LOC02,2036,554,1534.3
197,LOC02,2036,421,2407.1
214,LOC02,2036,1445,1666.2
216,LOC02,2036,3925,524.4
218,LOC02,2036,1662,1443.0
221,LOC02,2036,907,3364.7
228,LOC02,2036,420,2658.4
231,LOC02,2036,288,2650.5
232,LOC02,2036,363,1976.8
233,LOC02,2036,335,2931.0
235,LOC02,2036,831,741.5
236,LOC02,2036,422,2074.4
244,LOC02,2036,576,1592.3
247,LOC02,2036,382,2518.9
264,LOC02,2036,1684,1453.1
266,LOC02,2036,3888,512.4
268,LOC02,2036,1725,1367.5
271,LOC02,2036,873,3244.2
278,LOC02,2036,416,2523.1
281,LOC02,2036,333,2452.5
282,LOC02,2036,331,2268.9
283,LOC02,2036,283,2860.1
285,LOC02,2036,796,647.8
286,LOC02,2036,451,1937.3
294,LOC02,2036,594,1384.6
297,LOC02,2036,409,2367.2
314,LOC02,2036,1980,1253.5
316,LOC02,2036,3715,591.2
318,LOC02,2036,1584,1496.9
321,LOC02,2036,777,3509.6
328,LOC02,2036,391,2588.6
331,LOC02,2036,324,2530.2
332,LOC02,2036,343,2168.4
333,LOC02,2036,258,2987.4
335,LOC02,2036,781,816.4
336,LOC02,2036,477,1885.5
344,LOC02,2036,552,1593.4
347,LOC02,2036,426,2595.4
364,LOC02,2036,1753,1394.6
366,LOC02,2036,3910,456.6
368,LOC02,2036,1491,1578.5
371,LOC02,2036,870,3443.6
378,LOC02,2036,370,2697.3
381,LOC02,2036,287,2742.8
382,LOC02,2036,336,2214.6
383,LOC02,2036,308,2638.9
385,LOC02,2036,798,712.7
386,LOC02,2036,413,2230.2
394,LOC02,2036,560,1510.4
397,LOC02,2036,393,2621.7
414,LOC02,2036,1463,1639.4
416,LOC02,2036,3722,577.1
418,LOC02,2036,1702,1456.9
421,LOC02,2036,869,3647.6
428,LOC02,2036,408,2763.8
431,LOC02,2036,287,2570.4
432,LOC02,2036,303,2335.9
433,LOC02,2036,277,3099.8
435,LOC02,2036,840,663.9
436,LOC02,2036,423,2096.3
444,LOC02,2036,567,1605.9
447,LOC02,2036,426,2260.5
464,LOC02,2036,1810,1296.9
466,LOC02,2036,3723,546.4
468,LOC02,2036,1568,1542.1
471,LOC02,2036,817,3414.0
478,LOC02,2036,380,2825.9
481,LOC02,2036,327,2678.1
482,LOC02,2036,337,2245.1
483,LOC02,2036,310,2899.2
485,LOC02,2036,757,743.9
486,LOC02,2036,415,2270.6
494,LOC02,2036,520,1679.8
497,LOC02,2036,389,2392.7
