furniture_id,location_id,year,items_sold,weather_index,foot_traffic
1,LOC03,2028,140,0.352,322.4
4,LOC03,2028,161,0.445,440.4
9,LOC03,2028,345,0.636,379.1
11,LOC03,2028,259,0.619,92.8
28,LOC03,2028,142,0.586,164.7
36,LOC03,2028,181,0.4,380.1
41,LOC03,2028,179,0.515,440.5
42,LOC03,2028,159,0.642,121.7
43,LOC03,2028,309,0.514,299.7
44,LOC03,2028,218,0.423,167.4
47,LOC03,2028,160,0.473,250.8
51,LOC03,2028,141,0.602,252.3
54,LOC03,2028,159,0.542,470.5
59,LOC03,2028,369,0.319,328.8
61,LOC03,2028,191,0.115,453.5
78,LOC03,2028,156,0.511,402.4
86,LOC03,2028,159,0.468,235.6
91,LOC03,2028,238,0.51,212.9
92,LOC03,2028,140,0.589,68.6
93,LOC03,2028,320,0.313,118.3
94,LOC03,2028,251,0.716,329.1
97,LOC03,2028,140,0.279,459.1
101,LOC03,2028,143,0.471,55.7
104,LOC03,2028,163,0.511,347.8
109,LOC03,2028,282,0.592,90.8
111,LOC03,2028,216,0.469,165.5
128,LOC03,2028,164,0.225,453.4
136,LOC03,2028,192,0.341,410.9
141,LOC03,2028,205,0.533,267.2
142,LOC03,2028,122,0.274,462.1
143,LOC03,2028,325,0.433,441.6
144,LOC03,2028,260,0.565,457.2
147,LOC03,2028,167,0.252,157.4
151,LOC03,2028,154,0.451,387.9
154,LOC03,2028,167,0.519,431.3
159,LOC03,2028,411,0.414,451.0
161,LOC03,2028,267,0.543,133.1
178,LOC03,2028,156,0.528,345.4
186,LOC03,2028,159,0.498,311.6
191,LOC03,2028,169,0.363,309.4
192,LOC03,2028,139,0.604,79.1
193,LOC03,2028,332,0.64,81.6
194,LOC03,2028,240,0.414,242.3
197,LOC03,2028,152,0.291,83.3
201,LOC03,2028,153,0.567,121.2
204,LOC03,2028,154,0.292,322.0
209,LOC03,2028,345,0.424,251.1
211,LOC03,2028,286,0.579,346.6
228,LOC03,2028,143,0.742,378.0
236,LOC03,2028,162,0.442,131.9
241,LOC03,2028,211,0.633,426.6
242,LOC03,2028,128,0.512,154.1
243,LOC03,2028,320,0.376,367.0
244,LOC03,2028,242,0.288,497.4
247,LOC03,2028,161,0.468,92.9
251,LOC03,2028,145,0.413,78.2
254,LOC03,2028,172,0.402,492.1
259,LOC03,2028,320,0.36,349.1
261,LOC03,2028,283,0.603,170.3
278,LOC03,2028,161,0.647,280.9
286,LOC03,2028,175,0.26,385.5
291,LOC03,2028,232,0.279,88.2
292,LOC03,2028,127,0.505,262.1
293,LOC03,2028,314,0.541,141.9
294,LOC03,2028,287,0.535,461.4
297,LOC03,2028,154,0.261,336.9
301,LOC03,2028,133,0.369,481.6
304,LOC03,2028,165,0.403,404.2
309,LOC03,2028,359,0.411,317.4
311,LOC03,2028,251,0.502,429.6
328,LOC03,2028,154,0.485,58.4
336,LOC03,2028,187,0.409,393.9
341,LOC03,2028,219,0.35,337.8
343,LOC03,2028,286,0.288,416.8
344,LOC03,2028,241,0.542,56.1
347,LOC03,2028,157,0.417,348.2
351,LOC03,2028,150,0.686,388.8
354,LOC03,2028,165,0.73,195.4
359,LOC03,2028,372,0.209,466.4
361,LOC03,2028,256,0.553,233.8
378,LOC03,2028,127,0.121,422.5
386,LOC03,2028,152,0.433,136.3
393,LOC03,2028,331,0.533,482.9
394,LOC03,2028,248,0.513,405.7
397,LOC03,2028,145,0.398,478.1
401,LOC03,2028,122,0.534,53.9
404,LOC03,2028,138,0.584,260.4
409,LOC03,2028,363,0.354,139.4
411,LOC03,2028,257,0.512,57.5
428,LOC03,2028,164,0.307,240.4
436,LOC03,2028,168,0.554,434.6
441,LOC03,2028,195,0.397,337.4
442,LOC03,2028,145,0.618,459.8
443,LOC03,2028,315,0.501,68.9
444,LOC03,2028,235,0.526,183.2
447,LOC03,2028,187,0.544,336.0
451,LOC03,2028,151,0.415,291.6
454,LOC03,2028,181,0.558,499.0
459,LOC03,2028,324,0.426,197.8
461,LOC03,2028,236,0.813,115.2
478,LOC03,2028,132,0.516,298.4
486,LOC03,2028,157,0.621,138.7
491,LOC03,2028,223,0.262,196.1
492,LOC03,2028,140,0.375,307.3
493,LOC03,2028,279,0.643,259.0
494,LOC03,2028,208,0.692,272.4
497,LOC03,2028,149,0.265,433.4
